Modelo,Accuracy,F1-Score,ROC AUC,CV Mean,CV Std
Gradient Boosting,0.625,0.621284965034965,0.7426136363636364,0.42222222222222217,0.044444444444444446
LightGBM,0.625,0.6087662337662337,0.7630681818181819,0.3333333333333333,0.0
XGBoost,0.5625,0.5405844155844155,0.7159090909090909,0.5111111111111111,0.1507184440694504
Random Forest,0.5625,0.5561965811965812,0.75,0.42222222222222217,0.08314794192830982
